Date,Description,Original Description,Amount,Transaction Type,Category,Account Name
7/16/2016,BP,Credit Card Advance BP#9141037MAPLE&TELEGRA BLOOMFIELD HI MIDate 07/15/16 24122546198740198340018 5541Card #7391,6.58,debit,Gas & Fuel,50 Platinum Visa
7/16/2016,BP,Credit Card Advance BP#9141037MAPLE&TELEGRA BLOOMFIELD HI MIDate 07/15/16 24122546198740198340026 5542Card #7391,46.37,debit,Gas & Fuel,50 Platinum Visa
7/18/2016,Advance Spartan Ticket,Credit Card Advance SPARTAN TICKET ONLINE 517-355-1610 MIDate 07/17/16 24435656200200328101603 7999Card #7391,180,debit,Entertainment,50 Platinum Visa
7/18/2016,Transfer to 28 Insured Money Management Acct,Home Banking Withdrawal To Share 28,550,debit,Transfer,88 Totally Green Checking
7/18/2016,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,275.53,debit,Credit Card Payment,88 Totally Green Checking
7/20/2016,Advance Lukes Hammond,Credit Card Advance LUKES #275 HAMMOND INDate 07/20/16 24224436203102025854287 5542Card #7391,32.88,debit,Credit Card Payment,50 Platinum Visa
7/21/2016,Aldi,Credit Card Advance ALDI 62056 HAMMOND INDate 07/20/16 24427336203710031356043 5411Card #7391,19.35,debit,Groceries,50 Platinum Visa
7/21/2016,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Roth IRA contributio,88 Totally Green Checking
7/22/2016,Transfer to Account,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,37.99,debit,Credit Card Payment,88 Totally Green Checking
7/22/2016,Consumers Energy,ACH Withdrawal CONSUMERS ENERGYTYPE: ENERGYBILL ID: XXXXXXXXXXCO: CONSUMERS ENERGY,20.12,debit,Utilities,88 Totally Green Checking
7/24/2016,Advance Lukes Hammond,Credit Card Advance LUKES #275 HAMMOND INDate 07/24/16 24224436207101063283405 5542Card #7391,16.59,debit,Credit Card Payment,50 Platinum Visa
7/25/2016,Meijer,Credit Card Advance MEIJER INC #170 Q01 HIGHLAND INDate 07/23/16 24445006206300494323773 5411Card #7391,10.15,debit,Groceries,50 Platinum Visa
7/25/2016,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,78.97,debit,Credit Card Payment,28 Insured Money Management Acct
7/27/2016,Transfer to Account,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,485.14,debit,Credit Card Payment,28 Insured Money Management Acct
7/29/2016,Transfer to 28 Insured Money Management Acct,Home Banking Withdrawal To Share 28,780.62,debit,Transfer,88 Totally Green Checking
7/30/2016,Speedway,Credit Card Advance SPEEDWAY 08332 734 HAMMOND INDate 07/30/16 24224436213101056920841 5542Card #7391,18.2,debit,Gas & Fuel,50 Platinum Visa
8/1/2016,Transfer to 88 Totally Green Checking,Withdrawal To Share 88,250,debit,Transfer,28 Insured Money Management Acct
8/1/2016,Grand Traverse Pie,Credit Card Advance GRAND TRAVERSE PIE - EA EAST LANSING MIDate 07/31/16 24122596214701451268853 5814Card #7391,10.98,debit,Restaurants,50 Platinum Visa
8/1/2016,Marathon,Credit Card Advance MARATHON PETRO135913 SAWYER MIDate 08/01/16 24299106214000085014824 5541Card #7391,22.99,debit,Gas & Fuel,50 Platinum Visa
8/1/2016,Discovertype E Id,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,339.14,debit,Credit Card Payment,28 Insured Money Management Acct
8/1/2016,Woodys Oasis Mediterranean,Credit Card Advance WOODY'S OASIS MEDITERR EAST LANSING MIDate 07/31/16 24765016214286005089345 5812Card #7391,9.53,debit,Fast Food,50 Platinum Visa
8/2/2016,Aldi,Credit Card Advance ALDI 62056 HAMMOND INDate 08/01/16 24427336215710030380693 5411Card #7391,8.83,debit,Groceries,50 Platinum Visa
8/3/2016,Speedway,Credit Card Advance SPEEDWAY 08332 734 HAMMOND INDate 08/03/16 24224436217102020118179 5542Card #7391,25,debit,Gas & Fuel,50 Platinum Visa
8/4/2016,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,100.29,debit,Credit Card Payment,88 Totally Green Checking
8/4/2016,Starbucks,Credit Card Advance STARBUCKS STORE 14236 PORTAGE INDate 08/03/16 24692166217000117161159 5814Card #7391,4.76,debit,Coffee Shops,50 Platinum Visa
8/4/2016,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Roth IRA contributio,88 Totally Green Checking
8/5/2016,Speedway,Credit Card Advance SPEEDWAY 08332 734 HAMMOND INDate 08/05/16 24224436219101060018107 5541Card #7391,1.59,debit,Gas & Fuel,50 Platinum Visa
8/5/2016,Speedway,Credit Card Advance SPEEDWAY 08332 734 HAMMOND INDate 08/05/16 24224436219101060018081 5542Card #7391,10.61,debit,Gas & Fuel,50 Platinum Visa
8/5/2016,Spotify,Credit Card Advance ADY*Spotify P007BC23C1 https://www.s NYDate 08/04/16 24906416217028844549371 4899Card #7391,4.99,debit,Music,50 Platinum Visa
8/6/2016,Advance Madcap Coffee,Credit Card Advance SQ *MADCAP COFFEE GOSQ. Grand Rapids MIDate 08/06/16 24692166219000450112221 7299Card #7391,9.5,debit,Credit Card Payment,50 Platinum Visa
8/6/2016,Meijer,Credit Card Advance MEIJER INC #158 Q01 GRAND RAPIDS MIDate 08/06/16 24445006219200191303745 5411Card #7391,16.94,debit,Groceries,50 Platinum Visa
8/7/2016,Jimmy John's,Credit Card Advance JIMMY JOHNS - 811 GRAND RAPIDS MIDate 08/06/16 24269796220500895667774 5814Card #7391,33.11,debit,Restaurants,50 Platinum Visa
8/8/2016,Advance,Credit Card Advance MW*LANSING BWL 517-702-6006 MIDate 08/07/16 24445006221000621443400 4900Card #7391,148.9,debit,Bills & Utilities,50 Platinum Visa
8/8/2016,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,225.64,debit,Credit Card Payment,28 Insured Money Management Acct
8/8/2016,Home Banking Withdrawal,Home Banking Withdrawal To Share 20,55,debit,Transfer,88 Totally Green Checking
8/9/2016,Transfer to 88 Totally Green Checking,Withdrawal To Share 88,100,debit,Transfer,28 Insured Money Management Acct
8/9/2016,Mi St Univ,ACH Withdrawal MI. ST. UNIV.TYPE: MSU ACH ID: XXXXXXXXXXCO: MI. ST. UNIV.,3476.25,debit,Education,20 Datta Tuition
8/9/2016,Discovertype E Id,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,145.22,debit,Credit Card Payment,88 Totally Green Checking
8/9/2016,Exxon,Credit Card Advance EXXONMOBIL 97306237 BIRMINGHAM MIDate 08/08/16 24164056222378002707053 5542Card #7391,11.01,debit,Gas & Fuel,50 Platinum Visa
8/12/2016,Exxon,Credit Card Advance EXXONMOBIL 97306237 BIRMINGHAM MIDate 08/11/16 24164056225378002927294 5542Card #7391,38.4,debit,Gas & Fuel,50 Platinum Visa
8/13/2016,Advance Madcap Coffee,Credit Card Advance SQ *MADCAP COFFEE GOSQ. Grand Rapids MIDate 08/13/16 24692166226000359399425 7299Card #7391,10.5,debit,Credit Card Payment,50 Platinum Visa
8/14/2016,Advance,Credit Card Advance SQ *ESPRESSO ROYALE EAST LANSING MIDate 08/14/16 24492156227741426564952 5812Card #7391,4.35,debit,Coffee Shops,50 Platinum Visa
8/16/2016,BP,Credit Card Advance BP#9366535FULLER C-STOR GRAND RAPIDS MIDate 08/16/16 24122546229740229280277 5542Card #7391,38.99,debit,Gas & Fuel,50 Platinum Visa
8/16/2016,Discovertype E Id,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,305.56,debit,Credit Card Payment,88 Totally Green Checking
8/17/2016,Meijer,Credit Card Advance MEIJER INC #052 Q01 E LANSING MIDate 08/16/16 24445006230200151443205 5411Card #7391,46.4,debit,Groceries,50 Platinum Visa
8/17/2016,M & S Enterprises,Credit Card Advance M & S ENTERPRISES INC SOUTHFIELD MIDate 08/15/16 24610436229004068260962 5542Card #7391,11,debit,Laundry,50 Platinum Visa
8/18/2016,Kroger,Credit Card Advance KROGER #852 LANSING MIDate 08/17/16 24445716230300433358165 5411Card #7391,10.46,debit,Groceries,50 Platinum Visa
8/18/2016,Meijer,Credit Card Advance MEIJER INC #025 Q01 OKEMOS MIDate 08/17/16 24445006231200145208192 5411Card #7391,152.11,debit,Groceries,50 Platinum Visa
8/18/2016,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Roth IRA contributio,88 Totally Green Checking
8/20/2016,Starbucks,Credit Card Advance STARBUCKS STORE 11517 EAST LANSING MIDate 08/20/16 24692166233000129318557 5814Card #7391,2.07,debit,Coffee Shops,50 Platinum Visa
8/20/2016,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,323.22,debit,Credit Card Payment,88 Totally Green Checking
8/20/2016,Kroger,Credit Card Advance KROGER #852 LANSING MIDate 08/19/16 24445716232300454725597 5411Card #7391,2,debit,Groceries,50 Platinum Visa
8/22/2016,Meijer,Credit Card Advance MEIJER INC #025 Q01 OKEMOS MIDate 08/21/16 24445006235200140440184 5411Card #7391,58.26,debit,Groceries,50 Platinum Visa
8/22/2016,Transfer to Account,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,87.13,debit,Credit Card Payment,88 Totally Green Checking
8/22/2016,Starbucks,Credit Card Advance STARBUCKS STORE 11517 EAST LANSING MIDate 08/21/16 24692166235000133259423 5814Card #7391,4.4,debit,Coffee Shops,50 Platinum Visa
8/22/2016,Meijer,Credit Card Advance MEIJER INC #025 Q01 OKEMOS MIDate 08/20/16 24445006234300511340020 5411Card #7391,26.12,debit,Groceries,50 Platinum Visa
8/23/2016,Consumers Energy,ACH Withdrawal CONSUMERS ENERGYTYPE: ENERGYBILL ID: XXXXXXXXXXCO: CONSUMERS ENERGY,21.52,debit,Utilities,88 Totally Green Checking
8/25/2016,Meijer,Credit Card Advance MEIJER INC #052 Q01 E LANSING MIDate 08/24/16 24445006238200149402075 5411Card #7391,12.48,debit,Groceries,50 Platinum Visa
8/26/2016,Advance,Credit Card Advance 911PEPSIVEN9147678600 LANSING MIDate 08/25/16 24692166239000388381571 5814Card #7391,2,debit,Business Services,50 Platinum Visa
8/27/2016,Meijer,Credit Card Advance MEIJER INC #052 Q01 E LANSING MIDate 08/26/16 24445006240200168099626 5411Card #7391,12.12,debit,Groceries,50 Platinum Visa
8/27/2016,MSU Surplus Store,Credit Card Advance MSU SURPLUS STORE EAST LANSING MIDate 08/26/16 24435656239286666901063 5931Card #7391,5.3,debit,Clothing,50 Platinum Visa
8/28/2016,Bed Bath & Beyond,Credit Card Advance BED BATH & BEYOND #369 OKEMOS MIDate 08/27/16 24138296241802000049830 5719Card #7391,42.38,debit,Furnishings,50 Platinum Visa
8/29/2016,Meijer,Credit Card Advance MEIJER INC #025 Q01 OKEMOS MIDate 08/29/16 24445006242200151170861 5411Card #7391,169.39,debit,Groceries,50 Platinum Visa
8/29/2016,Shell,Credit Card Advance SHELL OIL 12481311004 HOWELL MIDate 08/28/16 24316056242548315018967 5542Card #7391,20,debit,Gas & Fuel,50 Platinum Visa
8/30/2016,Exxon,Credit Card Advance EXXONMOBIL 96126230 LANSING MIDate 08/29/16 24164056243378002610120 5542Card #7391,5.84,debit,Gas & Fuel,50 Platinum Visa
8/30/2016,Exxon,Credit Card Advance EXXONMOBIL 96126230 LANSING MIDate 08/29/16 24164056243378002610146 5542Card #7391,3.44,debit,Gas & Fuel,50 Platinum Visa
8/31/2016,Transfer to 88 Totally Green Checking,Home Banking Withdrawal To Share 88,1200,debit,Transfer,28 Insured Money Management Acct
8/31/2016,Advance,Credit Card Advance OLGA'S # 608 LANSING MIDate 08/30/16 24224436244104012727576 5814Card #7391,27.06,debit,Business Services,50 Platinum Visa
8/31/2016,MSU Surplus Store,Credit Card Advance MSU SURPLUS STORE EAST LANSING MIDate 08/30/16 24435656243286666000795 5931Card #7391,34.97,debit,Clothing,50 Platinum Visa
8/31/2016,Advance,Credit Card Advance GREAT LAKES ACE HDWE LANSING MIDate 08/30/16 24431066244400649001060 5251Card #7391,7.41,debit,Business Services,50 Platinum Visa
8/31/2016,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,165.8,debit,Credit Card Payment,88 Totally Green Checking
9/1/2016,Transfer to 88 Totally Green Checking,Withdrawal To Share 88,250,debit,Transfer,28 Insured Money Management Acct
9/1/2016,Meijer,Credit Card Advance MEIJER INC #025 Q01 OKEMOS MIDate 08/31/16 24445006245200179781399 5411Card #7391,28.89,debit,Groceries,50 Platinum Visa
9/1/2016,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Financial,88 Totally Green Checking
9/1/2016,Dollar Tree,Credit Card Advance DOLLAR TREE OKEMOS MIDate 08/31/16 24445006245000649455610 5331Card #7391,7.42,debit,Shopping,50 Platinum Visa
9/3/2016,Transfer to 28 Insured Money Management Acct,Home Banking Withdrawal To Share 28,499.05,debit,Transfer,88 Totally Green Checking
9/4/2016,Spotify,Credit Card Advance Spotify USA 646-8375380 NYDate 09/04/16 24204296248719296211480 4899Card #7391,4.99,debit,Music,50 Platinum Visa
9/5/2016,Marathon,Credit Card Advance MARATHON PETRO EAST LANSING MIDate 09/05/16 24299106249000662447024 5542Card #7391,10.01,debit,Gas & Fuel,50 Platinum Visa
9/5/2016,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,134.74,debit,Credit Card Payment,88 Totally Green Checking
9/5/2016,Advance Tophat Com,Credit Card Advance TOPHAT.COM XXXXXXXXXX CODate 09/04/16 24492156248637003256555 5734Card #7391,24,debit,Business Services,50 Platinum Visa
9/6/2016,Taco Bell,Credit Card Advance TACO BELL #23401 EAST LANSING MIDate 09/05/16 24231686250286388800889 5814Card #7391,4.85,debit,Fast Food,50 Platinum Visa
9/6/2016,Meijer,Credit Card Advance MEIJER INC #025 Q01 OKEMOS MIDate 09/04/16 24445006249300497952783 5411Card #7391,24.19,debit,Groceries,50 Platinum Visa
9/9/2016,2nd Lease Payment 1524 Snyder,Draft Withdrawal 001009,1460,debit,Mortgage & Rent,88 Totally Green Checking
9/9/2016,Marathon,Credit Card Advance MARATHON PETRO EAST LANSING MIDate 09/08/16 24299106253001172186444 5542Card #7391,29.12,debit,Gas & Fuel,50 Platinum Visa
9/10/2016,Meijer,Credit Card Advance MEIJER INC #025 Q01 OKEMOS MIDate 09/10/16 24445006254200167785061 5411Card #7391,28,debit,Groceries,50 Platinum Visa
9/10/2016,Meijer,Credit Card Advance MEIJER INC #025 Q01 OKEMOS MIDate 09/10/16 24445006254200167784981 5411Card #7391,70.13,debit,Groceries,50 Platinum Visa
9/10/2016,Steam Games,Credit Card Advance STEAMGAMES.COM425952298 425-9522985 WADate 09/09/16 24412896253700423243981 7994Card #7391,10.02,debit,Entertainment,50 Platinum Visa
9/11/2016,Advance,Credit Card Advance GIGIS CUPCAKES OF EAST EAST LANSING MIDate 09/10/16 24013396254001371704592 5462Card #7391,6.5,debit,Business Services,50 Platinum Visa
9/13/2016,Starbucks,Credit Card Advance STARBUCKS BROAD BUSINES EAST LANSING MIDate 09/12/16 24435656257286702502161 5814Card #7391,4.4,debit,Coffee Shops,50 Platinum Visa
9/14/2016,Meijer,Credit Card Advance MEIJER INC #025 Q01 OKEMOS MIDate 09/13/16 24445006258200145798984 5411Card #7391,68.71,debit,Groceries,50 Platinum Visa
9/14/2016,Discovertype E Id,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,311.67,debit,Credit Card Payment,28 Insured Money Management Acct
9/14/2016,Advance Theeconomist Newspaper,Credit Card Advance THEECONOMIST NEWSPAPER 800-456-6086 NYDate 09/13/16 24431066258206947203263 5968Card #7391,12,debit,Newspapers & Magazines,50 Platinum Visa
9/14/2016,Advance,Credit Card Advance MW*LANSING BWL 517-702-6006 MIDate 09/13/16 24445006258000625846513 4900Card #7391,130.12,debit,Bills & Utilities,50 Platinum Visa
9/15/2016,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Financial,88 Totally Green Checking
9/16/2016,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,398.05,debit,Credit Card Payment,28 Insured Money Management Acct
9/18/2016,Citgo,Credit Card Advance CITGO KENTWOOD GRAND RAPIDS MIDate 09/17/16 24610436262004040720800 5542Card #7391,27.98,debit,Gas & Fuel,50 Platinum Visa
9/19/2016,Starbucks,Credit Card Advance STARBUCKS STORE 11517 EAST LANSING MIDate 09/18/16 24692166263000984302723 5814Card #7391,7.31,debit,Coffee Shops,50 Platinum Visa
9/19/2016,Consumers Energy,ACH Withdrawal CONSUMERS ENERGYTYPE: ENERGYBILL ID: XXXXXXXXXXCO: CONSUMERS ENERGY,20.08,debit,Utilities,88 Totally Green Checking
9/21/2016,Marathon,Credit Card Advance MARATHON PETRO EAST LANSING MIDate 09/21/16 24299106265002869450750 5542Card #7391,1.95,debit,Gas & Fuel,50 Platinum Visa
9/24/2016,A & W,Credit Card Advance A & W #94254 LANSING MIDate 09/23/16 24431066268207328100266 5814Card #7391,9.51,debit,Fast Food,50 Platinum Visa
9/24/2016,Meijer,Credit Card Advance MEIJER INC #025 Q01 OKEMOS MIDate 09/23/16 24445006268200160187137 5411Card #7391,7.54,debit,Groceries,50 Platinum Visa
9/26/2016,Discovertype E Id,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,12.12,debit,Credit Card Payment,88 Totally Green Checking
9/26/2016,Marathon,Credit Card Advance MARATHON PETRO EAST LANSING MIDate 09/26/16 24299106270003525191153 5542Card #7391,6.22,debit,Gas & Fuel,50 Platinum Visa
9/26/2016,Marathon,Credit Card Advance MARATHON PETRO EAST LANSING MIDate 09/26/16 24299106270003525191146 5541Card #7391,20.57,debit,Gas & Fuel,50 Platinum Visa
9/26/2016,Advance Auto Parts,Credit Card Advance ADVANCE AUTO PARTS #899 EAST LANSING MIDate 09/25/16 24326886270042000013510 5533Card #7391,13.75,debit,Service & Parts,50 Platinum Visa
9/28/2016,Starbucks,Credit Card Advance STARBUCKS STORE 11517 EAST LANSING MIDate 09/27/16 24692166272000079878248 5814Card #7391,4.65,debit,Coffee Shops,50 Platinum Visa
9/29/2016,Transfer to 88 Totally Green Checking,Withdrawal To Share 88,100,debit,Transfer,28 Insured Money Management Acct
9/29/2016,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Financial,88 Totally Green Checking
9/29/2016,Starbucks,Credit Card Advance STARBUCKS BROAD BUSINES EAST LANSING MIDate 09/28/16 24435656273286703503093 5814Card #7391,4.4,debit,Coffee Shops,50 Platinum Visa
9/30/2016,Spartys,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 09/29/16 24435656274206935701371 8220Card #7391,5.29,debit,Coffee Shops,50 Platinum Visa
10/1/2016,Transfer to 88 Totally Green Checking,Withdrawal To Share 88,250,debit,Transfer,28 Insured Money Management Acct
10/1/2016,Imos Pizza,Credit Card Advance Primos Pizza BIRMINGHAM MIDate 10/01/16 24013396275000097214667 5812Card #7391,16.65,debit,Restaurants,50 Platinum Visa
10/1/2016,Meijer,Credit Card Advance MEIJER INC #052 Q01 E LANSING MIDate 09/30/16 24445006275200166202527 5411Card #7391,17.54,debit,Groceries,50 Platinum Visa
10/1/2016,Marathon,Credit Card Advance MARATHON PETRO EAST LANSING MIDate 10/01/16 24299106275000061320563 5542Card #7391,37.26,debit,Gas & Fuel,50 Platinum Visa
10/3/2016,Advance,Credit Card Advance Pho Places EAST LANSING MIDate 10/02/16 24426296277980005044267 5812Card #7391,21.97,debit,Business Services,50 Platinum Visa
10/3/2016,Starbucks,Credit Card Advance STARBUCKS STORE 02481 OKEMOS MIDate 10/02/16 24692166277000059122331 5814Card #7391,9.43,debit,Coffee Shops,50 Platinum Visa
10/4/2016,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,188.02,debit,Credit Card Payment,88 Totally Green Checking
10/4/2016,Spotify,Credit Card Advance ADY*Spotify P00D55479A https://www.s NYDate 10/04/16 24906416278030909959707 4899Card #7391,4.99,debit,Music,50 Platinum Visa
10/4/2016,McDonald's,Credit Card Advance MCDONALD'S M6550 OF MI EAST LANSING MIDate 10/04/16 24427336278710036017525 5814Card #7391,4.65,debit,Fast Food,50 Platinum Visa
10/4/2016,Starbucks,Credit Card Advance STARBUCKS STORE 11517 EAST LANSING MIDate 10/03/16 24692166278000679738473 5814Card #7391,4.4,debit,Coffee Shops,50 Platinum Visa
10/5/2016,Discovertype E Id,ACH Withdrawal DISCOVERTYPE: E-PAYMENT ID: XXXXXXXXXXCO: DISCOVER,34.97,debit,Credit Card Payment,88 Totally Green Checking
10/6/2016,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,30.18,debit,Credit Card Payment,88 Totally Green Checking
10/6/2016,Pizza House,Credit Card Advance PIZZA HOUSE - EAST LANS EAST LANSING MIDate 10/05/16 24269796280000801597345 5812Card #7391,16.14,debit,Restaurants,50 Platinum Visa
10/7/2016,McDonald's,Credit Card Advance MCDONALD'S M6550 OF MI EAST LANSING MIDate 10/06/16 24427336281710037825145 5814Card #7391,7.82,debit,Fast Food,50 Platinum Visa
10/7/2016,Marathon,Credit Card Advance MARATHON PETRO EAST LANSING MIDate 10/07/16 24299106281000944637342 5542Card #7391,28.61,debit,Gas & Fuel,50 Platinum Visa
10/10/2016,Transfer to 28 Insured Money Management Acct,Home Banking Withdrawal To Share 28,574.89,debit,Transfer,88 Totally Green Checking
10/11/2016,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 10/10/16 24435656285206936600249 8220Card #7391,5.29,debit,Coffee Shops,50 Platinum Visa
10/12/2016,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 10/11/16 24435656286206936700444 8220Card #7391,5.29,debit,Coffee Shops,50 Platinum Visa
10/13/2016,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Financial,88 Totally Green Checking
10/13/2016,Starbucks,Credit Card Advance STARBUCKS BROAD BUSINES EAST LANSING MIDate 10/12/16 24435656287286702702864 5814Card #7391,9.65,debit,Coffee Shops,50 Platinum Visa
10/14/2016,Meijer,Credit Card Advance MEIJER INC #025 Q01 OKEMOS MIDate 10/13/16 24445006288200154787856 5411Card #7391,42.27,debit,Groceries,50 Platinum Visa
10/14/2016,Potbelly Sandwich Works,Credit Card Advance POTBELLY #129 EAST LANSING MIDate 10/13/16 24692166288000242714470 5812Card #7391,11.98,debit,Fast Food,50 Platinum Visa
10/15/2016,Starbucks,Credit Card Advance STARBUCKS BROAD BUSINES EAST LANSING MIDate 10/14/16 24435656289286703702382 5814Card #7391,20,debit,Coffee Shops,50 Platinum Visa
10/16/2016,Advance Tom Fuel,Credit Card Advance TOM'S FUEL & WASH PORTLAND MIDate 10/15/16 24445006290000728782839 5542Card #7391,7.06,debit,Credit Card Payment,50 Platinum Visa
10/17/2016,Advance Eb One,Credit Card Advance EB ONE HUMANITY SHARE 801-413-7200 CADate 10/17/16 24492156291717568713947 7399Card #7391,16.82,debit,Business Services,50 Platinum Visa
10/17/2016,Advance No Thai,Credit Card Advance NO THAI GRAND RIVER A EAST LANSING MIDate 10/16/16 24071056291987158755944 5814Card #7391,19.61,debit,Restaurants,50 Platinum Visa
10/17/2016,Advance Eb One,Credit Card Advance EB ONE HUMANITY SHARE 801-413-7200 CADate 10/17/16 24492156291717568707410 7399Card #7391,16.82,debit,Business Services,50 Platinum Visa
10/18/2016,Marathon,Credit Card Advance MARATHON PETRO EAST LANSING MIDate 10/18/16 24299106292002442190458 5542Card #7391,20.16,debit,Gas & Fuel,50 Platinum Visa
10/18/2016,Consumers Energy,ACH Withdrawal CONSUMERS ENERGYTYPE: ENERGYBILL ID: XXXXXXXXXXCO: CONSUMERS ENERGY,11.61,debit,Utilities,88 Totally Green Checking
10/18/2016,Mw Lansing Bwltype,ACH Withdrawal MW*LANSING BWLTYPE: MW*LANSING ID: XXXXXXXXXXCO: MW*LANSING BWL,68.09,debit,Utilities,88 Totally Green Checking
10/19/2016,Advance,Credit Card Advance MEDICAL STORE BKST#1823 EAST LANSING MIDate 10/18/16 24445006293500511392727 5942Card #7391,5.18,debit,Business Services,50 Platinum Visa
10/19/2016,Advance,Credit Card Advance SPARTY'S HUBBARD EAST LANSING MIDate 10/18/16 24435656293200057801231 8220Card #7391,5.29,debit,Business Services,50 Platinum Visa
10/20/2016,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,252.84,debit,Credit Card Payment,28 Insured Money Management Acct
10/20/2016,Great Clips,Credit Card Advance 8768 GREAT CLIPS AT MAC EAST LANSING MIDate 10/19/16 24013396293002644349135 7230Card #7391,10.99,debit,Hair,50 Platinum Visa
10/20/2016,Starbucks,Credit Card Advance STARBUCKS BROAD BUSINES EAST LANSING MIDate 10/19/16 24435656294286702201900 5814Card #7391,20,debit,Coffee Shops,50 Platinum Visa
10/21/2016,Domino's Pizza,Credit Card Advance DOMINO'S 1201 734-476-9386 MIDate 10/21/16 24445006295100216414195 5814Card #7391,18.25,debit,Fast Food,50 Platinum Visa
10/22/2016,Starbucks,Credit Card Advance STARBUCKS STORE 11517 EAST LANSING MIDate 10/22/16 24692166296000145182403 5814Card #7391,20,debit,Coffee Shops,50 Platinum Visa
10/22/2016,Advance,Credit Card Advance MSU SPARTYS BRODY EAST LANSING MIDate 10/21/16 24435656296206935900431 8220Card #7391,5.29,debit,Coffee Shops,50 Platinum Visa
10/24/2016,Meijer,Credit Card Advance MEIJER INC #025 Q01 OKEMOS MIDate 10/22/16 24445006297300504969078 5411Card #7391,9.73,debit,Groceries,50 Platinum Visa
10/25/2016,McDonald's,Credit Card Advance MCDONALD'S M6550 OF MI EAST LANSING MIDate 10/24/16 24427336299710034965811 5814Card #7391,4.65,debit,Fast Food,50 Platinum Visa
10/26/2016,Starbucks,Credit Card Advance STARBUCKS CARD RELOAD 800-782-7282 WADate 10/26/16 24692166300000311440316 5499Card #7391,15,debit,Coffee Shops,50 Platinum Visa
10/26/2016,Venmotype Verifyban Id,ACH Withdrawal VENMOTYPE: VERIFYBAN ID: XXXXXXXXXX CO: VENMO,0.09,debit,Shopping,28 Insured Money Management Acct
10/26/2016,Venmotype Verifyban Id,ACH Withdrawal VENMOTYPE: VERIFYBAN ID: XXXXXXXXXX CO: VENMO,0.18,debit,Shopping,28 Insured Money Management Acct
10/26/2016,Kalamazoo College: Sarena's Tuition,ACH Withdrawal KALAMAZOOCOLLEGETYPE: XXXXXXXXXX ID: XXXXXXXXXXCO: KALAMAZOOCOLLEGE,3258.59,debit,Hide from Budgets & Trends,20 Datta Tuition
10/27/2016,Transfer to 50 Platinum Visa,Home Banking Withdrawal To Loan 50,72.92,debit,Credit Card Payment,28 Insured Money Management Acct
10/27/2016,Vanguard,ACH Withdrawal VANGUARD BUYTYPE: INVESTMENT ID: VMC PURCO: VANGUARD BUY,75,debit,Financial,88 Totally Green Checking
10/28/2016,Starbucks,Credit Card Advance STARBUCKS CARD RELOAD 800-782-7282 WADate 10/28/16 24692166302000483877731 5499Card #7391,10,debit,Coffee Shops,50 Platinum Visa
